id,log_feature,volume
965,80,13
965,201,16
965,203,13
965,82,14
18004,82,4
5928,203,4
5928,201,3
5928,82,6
5928,80,4
7405,193,1
7405,82,33
7405,385,1
7405,201,2
7405,80,4
7405,203,9
6803,82,6
6803,80,1
8764,203,5
8764,82,16
7925,82,63
7925,203,3
7925,201,1
7925,80,3
12798,82,18
11394,68,2
11394,80,1
11394,82,36
11394,203,16
17869,82,10
17869,203,3
10129,82,2
10129,80,1
13354,203,14
13354,82,32
16917,80,1
16917,82,1
17425,201,7
17425,80,10
17425,203,10
17425,82,48
18486,80,8
18486,82,8
18486,201,2
18486,203,2
6909,203,18
6909,82,22
12026,80,2
12026,82,2
16064,82,8
16064,203,4
11119,82,12
11119,203,4
8378,82,11
8378,80,7
8378,201,6
894,82,1
894,80,6
6648,80,3
372,201,1
372,82,2
372,80,2
17066,82,33
821,80,1
821,82,33
821,203,1
608,82,13
608,203,2
608,80,1
4535,82,21
4535,80,2
4640,201,1
4640,82,10
4640,203,4
4640,80,3
18296,80,2
18296,82,6
6904,82,4
6904,80,1
5059,80,1
5059,201,1
15102,82,15
15102,203,7
15102,80,3
11286,82,7
13438,201,1
13438,80,1
13438,82,6
7851,82,56
7851,80,16
7851,203,5
7851,201,3
16336,82,3
17470,82,4
17470,80,1
17470,203,2
8388,80,2
8388,203,4
8388,82,12
8388,201,2
4141,203,1
4141,82,14
4163,80,4
4163,82,8
13077,82,4
13077,80,4
15343,71,3
15343,203,15
15343,80,1
15343,193,3
15343,82,38
6475,203,28
6475,71,3
6475,193,2
6475,82,40
12214,82,12
12214,80,1
12214,203,4
6623,203,2
6623,82,32
6623,80,2
1551,203,1
1551,80,5
1551,82,21
13260,82,30
13260,203,19
12932,80,2
12932,82,4
4556,82,46
8556,80,1
8556,82,24
8556,203,4
14449,80,3
14449,82,5
14449,201,1
14449,203,3
18376,203,3
18376,82,50
18376,80,1
17745,80,1
17963,82,6
17963,300,1
17963,80,2
17963,386,1
17963,203,2
10014,82,26
10014,201,1
10014,80,5
9879,80,1
9879,82,9
9879,203,3
1718,80,1
1718,203,2
1718,82,11
13376,80,26
13376,201,7
13376,82,2
17645,80,3
17645,201,1
2214,80,1
2214,203,2
2214,82,10
12194,203,2
12194,82,4
12194,80,5
12607,82,12
12607,80,2
12607,203,2
378,82,10
378,203,2
378,201,1
378,80,2
14616,82,7
14616,80,2
14616,203,4
1326,203,8
1326,201,3
1326,82,10
1326,80,3
15085,82,25
15085,203,21
6339,82,36
6339,203,14
4151,82,2
17950,203,8
17950,82,12
17950,201,1
17950,80,2
15427,80,2
200,203,4
200,80,5
200,82,9
18050,80,2
18050,201,1
18050,82,10
3547,201,1
3547,80,2
3547,82,6
3547,203,2
15192,80,5
15192,82,10
13832,80,1
13832,82,12
13832,203,1
2467,201,2
2467,82,34
2467,203,20
2467,80,5
6369,80,2
6369,82,8
6369,203,3
6369,201,1
12887,82,10
12887,201,1
12887,203,4
12887,80,7
8366,80,6
8366,201,5
8366,82,8
8366,203,6
2425,82,2
2425,201,2
2425,183,1
2425,63,1
2425,80,7
8106,82,48
8106,80,4
8106,203,25
8106,201,5
12935,80,3
12935,201,2
12935,82,71
4623,80,4
4623,203,1
4623,201,1
4623,82,21
222,203,2
222,201,1
222,82,4
222,80,3
9059,80,6
15381,203,29
15381,80,4
15381,82,60
13154,80,10
13154,82,48
13154,201,4
665,82,6
665,201,2
665,203,1
665,80,7
10110,201,1
10110,203,34
10110,80,5
10110,82,43
1716,203,3
1716,82,35
1716,80,6
1716,201,1
3951,201,1
3951,80,2
3951,203,1
3951,82,2
17731,80,2
17731,203,7
17731,82,15
16403,82,10
16403,203,6
16403,80,4
8501,82,19
8501,80,5
8501,203,2
15362,82,27
15362,203,4
15362,80,3
9870,201,1
9870,82,6
9870,80,6
9870,203,1
8831,82,57
8831,80,3
5961,80,8
5961,203,6
5961,82,56
9364,82,2
9364,80,2
9364,203,1
18490,82,14
18490,80,3
9088,203,2
9088,201,11
9088,80,58
9088,82,13
2865,73,1
2865,195,2
16514,133,1
18077,132,1
18077,217,1
14,218,2
14,133,2
13453,73,1
12828,195,1
6359,232,1
6359,227,1
6359,312,1
6359,307,1
5881,312,1
5881,232,1
13337,228,2
13337,312,1
13337,308,2
13337,232,1
13337,310,2
13337,230,2
14986,73,10
14986,195,7
12978,73,9
12978,195,6
1553,73,13
1553,109,6
1553,195,8
487,73,35
487,195,29
487,109,3
5559,73,24
5559,195,25
8037,195,3
8037,73,7
5027,109,1
5027,73,19
5027,195,14
15133,195,1
15133,73,3
5068,195,2
5068,73,1
5068,68,1
11826,195,2
11826,73,2
7409,195,3
7409,73,3
13614,42,2
13614,73,1
13614,195,1
13614,157,2
11313,195,1
11313,73,1
8573,195,1
8573,73,2
15618,73,5
15618,195,4
8730,134,1
8730,219,1
2841,195,14
2841,73,11
8263,73,13
8263,195,8
8193,195,5
8193,73,4
5821,195,10
5821,73,9
14864,219,1
14864,195,4
14864,73,2
14864,134,1
7818,73,1
7818,195,2
6636,42,1
6636,73,1
3113,73,1
3113,195,1
15555,195,3
15555,73,8
15974,157,1
13273,195,2
13273,73,4
10465,73,1
1491,42,1
1491,157,1
7546,195,5
7546,73,5
8854,73,2
14462,42,2
14462,73,2
2734,73,5
2734,195,2
6446,195,2
6446,73,6
11239,157,1
11239,195,6
6193,73,1
3765,73,5
12944,195,1
12944,73,4
4302,73,7
16468,73,2
16468,195,1
12624,73,2
17530,195,3
17530,73,6
7503,157,5
7503,73,2
7503,42,5
6457,195,1
6457,73,1
6457,42,1
6457,157,1
16725,42,3
16725,157,3
5029,134,1
5029,219,1
16681,196,2
16681,74,1
11843,196,2
11843,133,1
11843,219,1
11843,74,2
11843,132,1
11843,134,1
6231,74,9
6231,196,9
15803,196,6
15803,132,1
15803,74,6
15803,217,1
13480,74,7
13480,196,7
11928,74,1
8963,74,4
8963,196,4
10844,196,6
10844,74,5
13067,74,6
13067,196,6
9769,74,2
15970,196,2
15970,74,2
6715,74,1
6715,196,1
5206,133,1
16675,74,3
16675,196,3
5468,132,1
5468,217,1
2854,218,1
2854,133,1
8225,196,1
15497,172,1
15497,56,1
10940,134,1
10940,219,1
8120,178,1
8120,68,1
15689,80,5
15689,201,3
5597,201,4
5597,80,4
5597,68,1
4315,80,1
11976,80,2
11976,134,1
11976,201,3
11976,219,1
268,201,1
11609,201,2
15967,273,2
15967,345,1
15967,68,2
15967,179,2
2184,345,1
2184,68,2
2184,170,8
2184,179,2
2184,273,2
2184,222,2
2184,304,2
2184,54,8
17071,306,1
17071,223,1
13185,246,2
13185,170,1
13185,179,6
13185,326,1
13185,68,7
17329,54,2
17329,246,1
17329,170,2
9509,54,2
9509,273,1
9509,170,1
9509,68,1
587,273,2
587,179,5
587,345,2
587,68,7
14586,54,5
14586,170,5
14586,273,3
3967,345,2
3967,68,4
3967,179,2
4941,68,1
4941,170,1
16781,170,3
16781,54,2
16781,273,2
15684,134,1
15684,219,1
525,273,2
525,68,2
525,179,1
17856,54,2
17856,68,2
17856,273,2
6932,273,2
6932,68,3
9787,54,2
9787,87,3
9787,209,5
9787,345,3
9787,273,2
4740,345,3
4740,273,3
4053,170,2
6376,68,1
6376,273,2
6376,170,4
6376,54,4
13330,170,1
13330,273,1
13330,54,1
8036,345,1
8036,273,1
3895,54,2
3895,170,2
333,68,1
333,273,1
16024,170,13
16024,54,13
10696,68,6
10696,54,9
10696,170,13
17505,273,1
17505,179,1
17505,68,1
17505,345,1
4045,54,30
4045,345,7
4045,68,44
18399,170,3
18399,179,4
18399,273,1
18399,345,3
18399,68,4
18399,54,10
11874,179,3
11874,68,3
11874,345,2
11874,273,2
17062,179,2
17062,68,2
17062,345,2
8042,170,6
8042,54,9
11725,54,15
11725,170,10
750,170,6
750,54,6
7315,54,3
7315,170,3
16339,54,4
16339,170,4
2212,54,4
2212,170,3
7545,113,1
7545,54,1
7545,26,1
7545,170,1
7545,209,5
7545,87,6
14767,54,5
14767,170,5
5282,54,6
5282,170,5
12389,54,1
1380,170,2
1380,54,2
10409,219,1
10409,134,1
10658,170,1
6144,170,3
6144,54,1
6144,68,2
10370,170,4
10370,54,6
17852,54,9
17852,170,8
5032,54,1
5032,170,1
5370,54,5
5370,170,3
12273,170,1
12273,54,4
1998,54,10
1998,170,10
17379,54,5
17379,170,1
252,54,2
14875,54,6
14875,170,1
6834,54,3
6834,170,2
9158,54,5
9158,170,6
8694,170,5
8694,54,9
7348,54,7
7348,170,2
12661,54,81
12661,20,1
12661,103,13
12661,170,53
7171,170,16
7171,103,8
7171,54,39
4733,103,16
4733,54,38
4733,170,12
1931,170,13
1931,103,9
1931,54,26
14047,54,3
14047,170,1
611,54,1
611,68,1
611,170,3
9354,54,2
15287,54,1
13403,54,2
13403,170,3
982,54,2
8581,54,1
7504,170,1
7504,54,1
17653,182,1
17653,62,1
2741,182,1
2741,155,10
10977,219,1
10977,134,1
8359,170,2
8359,68,1
8359,54,1
7385,170,5
8467,280,1
8467,54,1
8467,170,1
11740,68,1
9778,170,1
9778,54,1
15626,170,6
15626,54,4
3949,54,1
3663,280,1
17209,54,1
17209,170,2
400,170,2
400,54,3
4861,170,1
805,170,7
805,86,1
805,62,1
805,54,6
805,182,1
805,207,1
11989,170,18
11989,54,25
748,170,10
748,54,11
10508,155,10
10508,207,1
10508,170,2
10508,182,1
5977,170,2
5977,54,2
2090,54,1
5257,54,4
5257,170,4
8159,54,10
8159,170,12
1135,54,6
1135,170,6
6679,87,1
6679,54,3
6679,170,2
6313,54,2
1231,54,2
1231,170,3
1706,280,1
1706,87,1
16741,80,2
4629,71,1
4629,193,2
3491,201,6
3491,80,7
9852,80,4
9852,201,3
10293,80,16
10293,201,10
9596,80,2
9596,201,3
5300,80,18
5300,201,18
15871,80,8
15871,201,6
1566,71,3
1566,193,3
4254,193,1
4254,71,2
4254,201,1
4254,80,1
2652,201,3
2652,80,6
484,71,1
484,80,7
484,201,7
484,193,1
1588,80,2
1588,201,4
10561,80,1
10561,201,2
7174,201,1
7174,80,4
12209,80,3
12209,201,1
17627,193,4
17627,71,3
3701,134,1
3701,219,1
15517,80,3
15517,193,3
15517,201,2
15517,71,3
16136,76,5
16136,198,7
16136,193,6
16136,80,3
16136,71,6
16136,201,3
9720,201,4
9720,80,6
9720,76,13
9720,198,16
9720,193,2
9720,71,2
5184,137,1
5184,201,1
5184,2,1
5184,80,2
11581,201,4
11581,80,7
6327,80,1
6327,201,1
16645,80,2
16645,201,2
1704,71,2
1704,201,18
1704,80,9
1704,193,1
4279,80,7
4279,201,5
12527,71,4
12527,201,5
12527,193,3
12527,80,9
47,193,4
47,71,2
47,80,3
5617,80,6
5617,201,2
8530,201,2
8530,80,5
11653,80,4
13920,80,18
3191,80,10
3191,201,7
6439,76,1
6439,80,6
6439,198,2
6439,201,5
15350,76,1
5512,198,2
5512,76,1
16346,201,1
16346,80,2
12308,80,2
12308,201,1
12308,71,2
14668,71,1
16441,71,1
16562,193,1
16562,71,2
9919,80,5
9919,201,4
12731,201,2
12731,71,3
12731,193,2
12731,80,5
17525,80,11
17525,201,6
2829,80,3
2829,201,3
13065,201,6
13065,80,10
13888,80,1
2067,80,6
17949,80,1
886,71,2
886,193,4
18120,71,1
18120,80,1
17434,76,1
17434,71,1
4884,201,1
4884,80,4
7017,201,2
7017,80,3
18407,80,2
18407,201,1
17867,201,1
17867,193,2
17867,80,3
17867,71,2
17134,80,3
14131,201,17
14131,80,13
6517,201,3
6517,80,4
10666,193,5
10666,71,2
10666,80,3
10666,201,4
14592,193,1
14592,71,2
8759,193,2
8759,71,2
7878,193,5
7878,68,1
7878,80,3
13792,80,1
17833,201,3
17833,80,3
17833,71,1
14360,80,1
14360,201,1
4591,68,7
16142,80,1
16142,68,4
628,68,4
893,82,30
893,203,19
893,56,4
893,172,6
11341,82,17
11341,203,5
6581,80,6
6581,82,12
13606,82,25
13606,203,7
10407,203,7
10407,82,14
17931,82,12
17931,203,10
6564,82,20
6564,203,9
9848,82,40
9848,203,4
9598,201,1
9598,82,10
9598,203,4
12282,80,2
15099,68,1
11207,203,1
11207,80,6
11207,82,37
11207,201,2
6160,82,12
6160,203,4
12569,82,6
12569,201,2
12569,80,1
12569,203,2
10492,203,3
10492,82,10
1126,172,1
1126,82,4
1126,201,2
1126,56,2
1126,203,2
1126,80,1
3684,203,2
3684,74,17
3684,201,7
3684,82,4
3684,80,8
3684,196,17
11968,196,18
11968,74,18
11968,80,1
11968,203,2
11968,82,6
11968,201,1
9372,196,22
9372,203,2
9372,82,2
9372,80,4
9372,201,6
9372,74,22
1477,80,2
1477,201,1
1477,203,6
1477,82,12
14661,68,1
14997,82,2
14997,201,3
14997,80,6
2322,196,1
2322,82,26
2322,203,22
2322,74,1
7354,68,1
7354,203,6
7354,201,7
7354,82,8
7354,80,11
11981,80,6
11981,82,6
11981,203,1
7279,74,1
7279,196,1
7279,203,18
7279,82,20
386,203,16
386,74,1
386,196,1
386,82,52
386,80,2
7835,82,24
7835,201,4
7835,203,9
7835,80,3
12590,203,15
12590,82,48
4092,82,12
4092,203,7
4092,80,2
14100,201,2
14100,82,27
14100,80,2
14100,203,20
9722,82,1
12495,82,4
12227,203,9
12227,82,16
5693,80,2
5693,203,4
5693,82,35
13688,203,1
13688,82,10
17825,82,3
11878,203,3
11878,82,4
13552,201,1
13552,82,4
13552,203,3
13552,80,5
10520,203,10
10520,82,43
10137,203,5
10137,80,24
10137,82,11
10137,201,2
855,80,9
855,203,24
855,201,13
855,82,28
17557,82,15
17557,203,7
3667,82,66
3667,203,30
11352,219,1
11352,203,4
11352,82,4
11352,134,1
13408,201,6
13408,80,15
13408,82,11
13408,203,7
5178,203,2
5178,82,6
7372,139,1
7372,201,38
7372,43,1
7372,8,4
7372,2,1
7372,68,14
7372,82,8
7372,158,1
7372,141,4
7372,137,1
7372,80,24
7372,5,1
7372,203,5
5784,203,33
5784,8,2
5784,141,2
5784,68,13
5784,139,1
5784,201,15
5784,80,2
5784,82,64
4047,80,2
4047,82,8
4047,203,6
11367,82,2
17801,203,2
17801,82,2
460,203,5
460,82,18
12790,80,1
12790,82,24
12790,203,1
12790,201,1
2999,82,23
2999,203,2
5476,82,10
5476,203,11
17540,82,2
17540,172,1
17540,201,1
8880,201,1
8880,80,1
8880,203,5
8880,82,8
13391,203,10
13391,82,33
12112,82,6
10676,80,1
10676,82,18
10676,203,5
11133,82,12
11133,203,3
1508,82,67
1508,203,4
375,201,20
375,74,7
375,82,76
375,80,15
375,196,6
12473,82,21
12473,80,4
12473,203,18
12473,68,2
3692,82,10
3692,203,4
14557,196,1
14557,82,4
14557,203,3
14557,74,1
17724,196,2
17724,74,2
17724,82,1
8673,82,4
8673,203,2
18253,82,16
18253,203,1
595,203,1
595,82,60
6565,82,4
6565,203,4
17749,203,3
17749,82,6
10783,82,8
2216,82,30
15716,203,27
15716,80,2
15716,82,28
18116,80,5
18116,74,1
18116,196,1
18116,82,2
10572,82,28
10572,80,1
8234,203,1
8234,82,5
11189,203,6
11189,82,13
11189,74,1
11189,196,1
11895,80,10
11895,201,1
11895,82,6
4658,74,6
4658,196,8
4674,82,122
4674,203,15
2991,203,4
2991,201,2
2991,82,12
2991,80,10
6747,80,2
3052,203,7
3052,82,19
6990,82,5
5439,82,6
5439,201,2
13612,203,8
13612,80,10
13612,82,51
13612,201,1
8173,203,7
8173,82,8
6902,203,4
6902,82,11
18176,203,1
18176,82,18
18176,201,1
18176,80,1
11790,82,12
11790,80,4
11790,74,1
15693,74,1
15693,82,4
5320,82,64
5320,203,9
5320,201,1
5320,80,1
3877,82,36
3877,203,26
13361,203,2
13361,80,4
13361,74,3
13361,196,2
13361,82,12
15072,203,2
15072,82,5
9280,82,7
9280,203,4
3789,82,43
3789,203,38
14664,82,2
14664,74,12
14647,80,1
14647,201,1
9980,80,5
9980,203,3
9980,82,26
1382,203,5
1382,82,6
16456,82,16
16456,203,8
13078,203,10
13078,82,24
7360,203,6
7360,82,14
1493,82,5
1493,203,2
1493,80,2
5731,80,3
5731,82,2
10329,196,9
10329,80,1
10329,74,9
267,203,2
267,82,18
14087,80,8
14087,203,4
14087,82,12
13440,203,4
13440,82,8
13440,196,1
11758,82,8
11758,203,4
14439,74,1
8355,82,14
8355,203,2
11357,82,34
11357,203,32
17017,82,12
17017,203,8
5304,203,2
5304,82,8
10803,82,10
17568,80,1
17568,203,2
17568,82,4
4620,80,5
4620,82,8
4620,201,1
4620,203,2
12275,82,12
12275,203,1
7146,203,25
7146,82,36
7146,80,1
11896,203,6
11896,201,2
11896,80,2
11896,82,9
10403,82,6
10403,203,4
45,203,6
45,82,6
9928,203,22
9928,82,72
2091,203,2
2091,82,60
12939,80,1
12939,203,1
12939,82,11
16012,80,8
16012,2,1
16012,201,6
16012,203,2
16012,137,1
16012,82,2
1368,82,72
1368,203,36
10790,203,2
10790,82,74
9911,203,1
9911,82,8
14907,82,66
14907,203,54
6638,201,1
6638,80,2
6638,82,34
10857,82,22
10857,80,10
10857,203,7
10857,201,1
4470,196,1
4470,203,22
4470,82,29
4470,74,1
15434,82,17
15434,203,5
15434,74,1
15434,80,2
15434,196,1
7667,203,3
7667,82,14
3327,80,4
3327,201,2
12278,82,28
6267,203,6
6267,82,8
17581,82,10
17581,80,4
17581,203,9
8269,201,3
8269,82,15
8269,80,14
7055,230,10
7055,228,9
7055,313,1
7055,227,2
7055,308,8
7055,310,10
7055,312,4
7055,232,2
7055,307,2
7055,315,1
7055,233,1
14032,235,52
14032,310,6
14032,228,6
14032,308,7
14032,230,6
14032,315,53
13543,234,1
13543,310,14
13543,315,6
13543,314,1
13543,228,14
13543,308,14
13543,230,14
13543,235,7
13341,308,6
13341,228,6
13341,310,6
13341,230,6
17440,308,3
17440,228,4
17440,230,6
17440,310,5
17440,312,1
17440,232,1
6379,230,14
6379,310,14
6379,228,8
6379,232,3
6379,308,8
6379,312,3
7864,308,19
7864,232,1
7864,310,25
7864,234,2
7864,230,26
7864,312,1
7864,228,19
7864,314,2
10047,230,1
10047,310,1
10047,301,1
10047,308,1
10047,134,1
10047,219,1
10047,228,1
6837,230,26
6837,310,23
6837,228,15
6837,235,1
6837,308,14
6837,233,1
8007,310,32
8007,228,17
8007,308,17
8007,230,31
6931,232,1
6931,312,1
6931,230,18
6931,308,11
6931,228,10
6931,315,1
6931,313,1
6931,310,19
5846,310,1
5846,308,1
5846,313,1
5846,235,1
5846,233,1
5846,315,1
5846,230,1
5846,228,1
11038,234,1
11038,232,3
11038,312,3
11038,313,5
11038,233,5
11038,235,2
11038,229,1
11038,309,1
11038,310,2
11038,315,2
11038,228,2
11038,307,2
11038,227,2
11038,314,1
